timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-02-27T00:00:00.000Z";"2023-03-05T23:59:59.999Z";"2023-03-01T09:01:00.000Z";"2023-03-04T20:49:00.000Z";"2781";23561.4506815245;23880.6324628676;22198.9810093926;22435.5141969735;138790785900.01;433216160786.45;"2023-03-05T23:59:59.999Z"
"2023-02-20T00:00:00.000Z";"2023-02-26T23:59:59.999Z";"2023-02-21T08:30:00.000Z";"2023-02-25T20:50:00.000Z";"2781";24336.6233404821;25126.851685722;22861.5586648141;23561.2129109163;180472737468.03;454795165822.83;"2023-02-26T23:59:59.999Z"
"2023-02-13T00:00:00.000Z";"2023-02-19T23:59:59.999Z";"2023-02-16T16:06:00.000Z";"2023-02-13T17:57:00.000Z";"2781";21786.9992632743;25134.1173501961;21460.0885038644;24327.6416722827;209050300776.03;469431477134.26;"2023-02-19T23:59:59.999Z"
"2023-02-06T00:00:00.000Z";"2023-02-12T23:59:59.999Z";"2023-02-08T01:17:00.000Z";"2023-02-10T21:46:00.000Z";"2781";22954.0219641729;23367.9592874059;21539.3928305144;21788.2039862606;170212590187.16;420274300806.28;"2023-02-12T23:59:59.999Z"
"2023-01-30T00:00:00.000Z";"2023-02-05T23:59:59.999Z";"2023-02-02T01:01:00.000Z";"2023-01-30T22:43:00.000Z";"2781";23774.6489666425;24167.210232202;22657.5821676256;22955.6660162974;171080243770.11;442642331535.6;"2023-02-05T23:59:59.999Z"
"2023-01-23T00:00:00.000Z";"2023-01-29T23:59:59.999Z";"2023-01-29T19:49:00.000Z";"2023-01-25T01:31:00.000Z";"2781";22721.0886719506;23919.8897614092;22406.0755024251;23774.5659233116;177486927537.2;458291157032.27;"2023-01-29T23:59:59.999Z"
"2023-01-16T00:00:00.000Z";"2023-01-22T23:59:59.999Z";"2023-01-21T19:56:00.000Z";"2023-01-18T16:47:00.000Z";"2781";20882.2238766183;23282.3477215567;20541.544548774;22720.4156286391;188938770069.22;437814457018.41;"2023-01-22T23:59:59.999Z"
"2023-01-09T00:00:00.000Z";"2023-01-15T23:59:59.999Z";"2023-01-14T14:37:00.000Z";"2023-01-09T00:00:00.000Z";"2781";17093.9924981225;21075.1418299576;17093.9924981225;20880.7992021821;175202822924.3;402234665331.34;"2023-01-15T23:59:59.999Z"
"2023-01-02T00:00:00.000Z";"2023-01-08T23:59:59.999Z";"2023-01-08T23:59:00.000Z";"2023-01-02T01:19:00.000Z";"2781";16625.5103941178;17091.1444513033;16572.2288497449;17091.1444513033;90012614323.23;329114546384.43;"2023-01-08T23:59:59.999Z"
"2022-12-26T00:00:00.000Z";"2023-01-01T23:59:59.999Z";"2022-12-27T00:14:00.000Z";"2022-12-30T14:52:00.000Z";"2781";16842.2493105753;16959.8464760475;16408.4751768261;16625.0805507091;95526200507.42;320025834692.4;"2023-01-01T23:59:59.999Z"
"2022-12-19T00:00:00.000Z";"2022-12-25T23:59:59.999Z";"2022-12-20T15:34:00.000Z";"2022-12-19T22:37:00.000Z";"2781";16759.0409268239;17012.9847052964;16398.1362516753;16841.9870522838;107997970887.14;324093186300.93;"2022-12-25T23:59:59.999Z"
"2022-12-12T00:00:00.000Z";"2022-12-18T23:59:59.999Z";"2022-12-14T18:58:00.000Z";"2022-12-16T23:35:00.000Z";"2781";17102.5006494509;18318.530584361;16584.7013982805;16757.9774032466;168070921627.61;322379914497.22;"2022-12-18T23:59:59.999Z"
"2022-12-05T00:00:00.000Z";"2022-12-11T23:59:59.999Z";"2022-12-05T05:09:00.000Z";"2022-12-07T08:06:00.000Z";"2781";17128.8940804496;17378.1533102833;16750.5581344286;17104.1928057162;129428712529.15;328933297475.65;"2022-12-11T23:59:59.999Z"
