signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
SELL,2022-01-21,2022-01-29,36445.31,38166.84,35071.42,,3.7697305908496856,-4.723598180396872,1,,8.0,-423.12767031128897,-386.6717861268789,-36.45588418441008
BUY,2022-01-29,2022-02-19,38166.84,40079.17,44544.86,16.71089354004682,,5.010448860843606,17,21.0,,-486.51529023830517,-493.8148397033633,7.299549465058135
SELL,2022-02-19,2022-02-28,40079.17,43160.0,37008.16,,7.662359275404143,-7.6868607807996066,2,,9.0,32.52971259412152,39.05288980604317,-6.523177211921649
BUY,2022-02-28,2022-03-06,43160.0,38420.81,44421.2,2.922150139017602,,-10.980514365152924,1,6.0,,-94.2195402520374,-97.77185302161074,3.5523127695733336
SELL,2022-03-06,2022-03-16,38420.81,41114.0,37777.34,,1.674795507955197,-7.009716869581882,7,,10.0,-34.55867142153875,-28.143946358515596,-6.414725063023152
BUY,2022-03-16,2022-04-06,41114.0,43170.47,47434.8,15.373838595125754,,5.0018728413679066,13,21.0,,-58.047760701454536,-68.39747024641761,10.349709544963076
SELL,2022-04-06,2022-05-22,43170.47,30293.94,28715.32,,33.48388377518244,29.82717121217351,42,,46.0,257.78425252514717,282.2829320546138,-24.498679529466642
BUY,2022-05-22,2022-06-12,30293.94,26574.53,31801.04,4.974922377214725,,-12.277736075267859,9,21.0,,-509.94279018626185,-526.8682152415632,16.92542505530139
SELL,2022-06-12,2022-06-26,26574.53,21038.07,18970.79,,28.61288609807962,20.833708065580083,6,,14.0,-196.55984597759743,-196.5405909503022,-0.01925502729523032
BUY,2022-06-26,2022-08-17,21038.07,23342.66,24441.38,16.176911665376156,,10.954379370350988,48,52.0,,-509.3189364720638,-519.6774453079668,10.358508835902967
SELL,2022-08-17,2022-09-09,23342.66,21360.11,18790.61,,19.500990889641535,8.493247984591298,20,,23.0,90.52766213818177,93.39955706852932,-2.871894930347551
BUY,2022-09-09,2022-09-19,21360.11,19537.02,22395.74,4.848430087672774,,-8.535021589308295,3,10.0,,-139.6816409347448,-150.1417680199951,10.46012708525032
SELL,2022-09-19,2022-09-28,19537.02,19412.82,18461.36,,5.505752668523653,0.6357161941790546,2,,9.0,-83.62334758350698,-82.91945431271074,-0.7038932707962431
BUY,2022-09-28,2022-11-08,19412.82,18547.23,21299.37,9.718062599869567,,-4.458857600286822,38,41.0,,-98.69662531538779,-102.30300986899911,3.6063845536113206
SELL,2022-11-08,2022-11-26,18547.23,16458.57,15781.29,,14.912954656840935,11.261304248666782,13,,18.0,37.96484507570494,50.47537082882534,-12.510525753120397
BUY,2022-11-26,2022-12-28,16458.57,16547.31,17803.15,8.169482524909526,,0.539171993678683,18,32.0,,-161.2225190891404,-164.3214425729091,3.0989234837686865
SELL,2022-12-28,2023-01-03,16547.31,16675.18,16542.4,,0.02967249661727407,-0.7727540004991685,3,,6.0,-24.997887250599888,-23.997035630433775,-1.000851620166113
BUY,2023-01-03,2023-02-02,16675.18,23488.94,23742.3,42.38107174855084,,40.86168784984629,26,30.0,,-25.47465927270605,-25.935655802987352,0.46099653028130305
SELL,2023-02-02,2023-02-18,23488.94,24631.95,21625.19,,7.934585383589043,-4.866162542881893,8,,16.0,275.5710257865285,280.0695358136612,-4.498510027132738
BUY,2023-02-18,2023-02-24,24631.95,23185.29,24842.2,0.8535662016202533,,-5.873103834653772,2,6.0,,134.64080598841974,127.8027326075077,6.838073380912036
SELL,2023-02-24,2023-03-14,23185.29,24670.41,20150.69,,13.088471181512078,-6.4054406910588515,14,,18.0,126.25177776740384,137.97587832814722,-11.72410056074338
BUY,2023-03-14,2023-04-03,24670.41,27800.0,28465.36,15.38259801924654,,12.685601901224992,17,20.0,,-22.769306366331875,-37.56288909598764,14.793582729655768
