signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
SELL,2022-06-08 16:00:00,2022-06-19 16:00:00,30204.77,20574.0,18306.93,,39.390599564241015,31.88493075762537,31,,33.0,69.09537909683422,75.85876004335255,-6.763380946518325
BUY,2022-06-19 16:00:00,2022-06-29 16:00:00,20574.0,20123.01,21508.13,4.540342179449796,,-2.1920384951881093,16,30.0,,-1431.5099351551326,-1504.1619637218362,72.65202856670362
SELL,2022-06-29 16:00:00,2022-07-04 08:00:00,20123.01,19801.47,19046.78,,5.348255554213806,1.5978722865018569,11,,14.0,-201.99897691200022,-200.19039326538774,-1.808583646612476
BUY,2022-07-04 08:00:00,2022-07-11 00:00:00,19801.47,20439.91,21962.52,10.91358368848373,,3.224205071643664,12,20.0,,-281.72389189101887,-314.54713350264296,32.8232416116241
SELL,2022-07-11 00:00:00,2022-07-15 08:00:00,20439.91,20792.19,19328.75,,5.436227458927167,-1.7234909547057635,5,,13.0,188.6300760437225,198.464633679157,-9.834557635434493
BUY,2022-07-15 08:00:00,2022-07-23 00:00:00,20792.19,22770.52,24172.63,16.258220033579928,,9.514774537939495,15,23.0,,-14.394012756074517,-35.60794912866906,21.213936372594546
SELL,2022-07-23 00:00:00,2022-07-28 08:00:00,22770.52,23745.57,20746.81,,8.88741232084291,-4.282071731343857,10,,16.0,392.7914782356456,421.21886843365303,-28.4273901980074
BUY,2022-07-28 08:00:00,2022-08-01 08:00:00,23745.57,23326.73,24529.1,3.2996891630733596,,-1.7638658495037187,6,12.0,,81.36181914010376,30.96068828217075,50.40113085793301
SELL,2022-08-01 08:00:00,2022-08-08 00:00:00,23326.73,23807.68,22622.98,,3.0169252184082382,-2.061797774484468,10,,20.0,253.38385796760485,264.12178542620313,-10.737927458598278
BUY,2022-08-08 00:00:00,2022-08-10 00:00:00,23807.68,22963.67,23991.38,0.7715997526848509,,-3.5451165338243875,1,6.0,,50.70626375721986,40.45208893228637,10.254174824933486
SELL,2022-08-10 00:00:00,2022-08-10 08:00:00,22963.67,23997.1,22963.67,,0.0,-4.500282402595057,0,,1.0,49.3333853593831,69.93265857658376,-20.59927321720066
BUY,2022-08-10 08:00:00,2022-08-15 08:00:00,23997.1,24226.0,24873.32,3.6513578724095876,,0.953865258718768,11,15.0,,86.48849685502137,72.14010368037545,14.34839317464592
SELL,2022-08-15 08:00:00,2022-08-24 00:00:00,24226.0,21317.85,20834.39,,13.999876166102537,12.004251630479656,13,,26.0,187.30995345975316,199.3112557420628,-12.001302282309638
BUY,2022-08-24 00:00:00,2022-08-27 00:00:00,21317.85,20272.25,21743.29,1.9956984405087868,,-4.90480981900144,3,9.0,,-395.17298939340617,-409.68135931380965,14.508369920403482
SELL,2022-08-27 00:00:00,2022-08-29 16:00:00,20272.25,20285.73,19555.61,,3.535078740642994,-0.06649483900405512,5,,8.0,-348.3065342751979,-329.37903239883565,-18.92750187636227
BUY,2022-08-29 16:00:00,2022-09-07 00:00:00,20285.73,18800.43,20434.16,0.731696616291355,,-7.321895736559638,1,25.0,,-392.05359317376497,-392.8506858627992,0.7970926890342298
